"Willamette", 3.2, "2001-07-01", "?"
"Prescott", 5.6, "2004-06-01", "?"
"Woodcrest", 24.0, "2006-06-01", "?"
"Kentsfield", 85.44, "2007-01-01", "Core 2 Quad Q6700, 4 cores * 2.67GHz * 8 ops/clock"
"Yorktown", 96, "2009-01-01", "Core 2 Quad Q9650, 4 cores * 3GHz * 8 ops/clock"
"Bloomfield", 102.4, "2009-10-20", "i7-960, 4 cores * 3.2GHz * 8 ops/clock"
"Westmere", 158.4, "2011-06-26", "i7-980, 6 cores * 3.3GHz * 8 ops/clock"
"Sandy Bridge", 224, "2011-10-24", "i7-2700K, 4 cores * 3.5GHz * 16 ops/clock"
"Ivy Bridge", 224, "2012-04-23", "i7-3770K, 4 cores * 3.5GHz * 16 ops/clock"
"Haswell", 448, "2013-06-02", "i7-4770K, 4 cores * 3.5GHz * 32 ops/clock"
